service_id,date,exception_type
C98549ASZMAA-121,20250621,1
C98549ASZMAA-121,20250628,1
C98549ASZMAA-121,20250705,1
C98549ASZMAA-121,20250712,1
C98549ASZMAA-121,20250719,1
C98549ASZMAA-121,20250726,1
C98553K1PPMAA-121,20250627,1
C98553K1PPMAA-121,20250704,1
C98553K1PPMAA-121,20250711,1
C98553K1PPMAA-121,20250718,1
C98553K1PPMAA-121,20250725,1
C98553K1PPMAA-121,20250801,1
C98557K1HPYM-0051,20250623,1
C98557K1HPYM-0051,20250624,1
C98557K1HPYM-0051,20250625,1
C98557K1HPYM-0051,20250626,1
C98557K1HPYM-0051,20250627,1
C98559K1HPYM-0061,20250623,1
C98559K1HPYM-0061,20250624,1
C98559K1HPYM-0061,20250625,1
C98559K1HPYM-0061,20250626,1
C98559K1HPYM-0061,20250627,1
C98559K1HPYM-0061,20250630,1
C98559K1VCYM-0061,20250622,1
C98559K1VCYM-0061,20250623,1
C98559K1VCYM-0061,20250624,1
C98559K1VCYM-0061,20250625,1
C98559K1VCYM-0061,20250626,1
C98559K1VCYM-0061,20250629,1
C98560RAASZJOP-061,20250621,1
C98560RAASZJOP-071,20250621,1
C98561K1HPYM-0021,20250623,1
C98561K1HPYM-0021,20250624,1
C98561K1HPYM-0021,20250625,1
C98561K1HPYM-0021,20250626,1
C98561K1HPYM-0021,20250627,1
C98561K1HPYM-0021,20250630,1
C98561K1HPYM-0021,20250701,1
C98561K1HPYM-0021,20250702,1
C98561K1HPYM-0021,20250703,1
C98561K1HPYM-0021,20250704,1
C98561K1HPYM-0021,20250707,1
C98561K1HPYM-0021,20250708,1
C98561K1HPYM-0021,20250709,1
C98561K1HPYM-0021,20250710,1
C98561K1HPYM-0021,20250711,1
C98561K1HPYM-0021,20250714,1
C98561K1HPYM-0021,20250715,1
C98561K1HPYM-0021,20250716,1
C98561K1HPYM-0021,20250717,1
C98561K1HPYM-0021,20250718,1
C98561K1HPYM-0021,20250721,1
C98561K1HPYM-0021,20250722,1
C98561K1HPYM-0021,20250723,1
C98561K1HPYM-0021,20250724,1
C98561K1HPYM-0021,20250725,1
C98561K1HPYM-0021,20250728,1
C98561K1HPYM-0021,20250729,1
C98561K1HPYM-0021,20250730,1
C98561K1HPYM-0021,20250731,1
C98561K1HPYM-0021,20250801,1
C98561K1VCYM-0021,20250622,1
C98561K1VCYM-0021,20250623,1
C98561K1VCYM-0021,20250624,1
C98561K1VCYM-0021,20250625,1
C98561K1VCYM-0021,20250626,1
C98561K1VCYM-0021,20250629,1
C98561K1VCYM-0021,20250630,1
C98561K1VCYM-0021,20250701,1
C98561K1VCYM-0021,20250702,1
C98561K1VCYM-0021,20250703,1
C98561K1VCYM-0021,20250706,1
C98561K1VCYM-0021,20250707,1
C98561K1VCYM-0021,20250708,1
C98561K1VCYM-0021,20250709,1
C98561K1VCYM-0021,20250710,1
C98561K1VCYM-0021,20250713,1
C98561K1VCYM-0021,20250714,1
C98561K1VCYM-0021,20250715,1
C98561K1VCYM-0021,20250716,1
C98561K1VCYM-0021,20250717,1
C98561K1VCYM-0021,20250720,1
C98561K1VCYM-0021,20250721,1
C98561K1VCYM-0021,20250722,1
C98561K1VCYM-0021,20250723,1
C98561K1VCYM-0021,20250724,1
C98561K1VCYM-0021,20250727,1
C98561K1VCYM-0021,20250728,1
C98561K1VCYM-0021,20250729,1
C98561K1VCYM-0021,20250730,1
C98561K1VCYM-0021,20250731,1
C98562ASZYM-0031,20250621,1
C98563ASZYM-0031,20250628,1
C98563ASZYM-0031,20250705,1
C98563ASZYM-0031,20250712,1
C98563ASZYM-0031,20250719,1
C98563ASZYM-0031,20250726,1
C98566AVVMAA-121,20250615,1
C98566AVVMAA-121,20250622,1
C98566AVVMAA-121,20250629,1
C98566AVVMAA-121,20250706,1
C98566AVVMAA-121,20250713,1
C98566AVVMAA-121,20250720,1
C98566AVVMAA-121,20250727,1
C98570AHCCsZ-161,20250616,1
C98570AHCCsZ-161,20250617,1
C98570AHCCsZ-161,20250618,1
C98570AHCCsZ-161,20250619,1
C98571APPCsZ-161,20250620,1
C98572AHCHM-0031,20250617,1
C98572AHCHM-0031,20250618,1
C98572AHCHM-0031,20250619,1
C98572AVSHM-0031,20250616,1
C98572AVSHM-0031,20250617,1
C98572AVSHM-0031,20250618,1
C98573ACSHM-0031,20250619,1
C98573APPHM-0031,20250620,1
C98574APPHM-0031,20250620,1
C98574APPHM-0031,20250627,1
C98574APPHM-0031,20250704,1
C98574APPHM-0031,20250711,1
C98574APPHM-0031,20250718,1
C98574APPHM-0031,20250725,1
C98574ASZHM-0031,20250621,1
C98574ASZHM-0031,20250628,1
C98574ASZHM-0031,20250705,1
C98574ASZHM-0031,20250712,1
C98574ASZHM-0031,20250719,1
C98574ASZHM-0031,20250726,1
C98575ASZHM-0031,20250621,1
C98575ASZHM-0031,20250628,1
C98575ASZHM-0031,20250705,1
C98575ASZHM-0031,20250712,1
C98575ASZHM-0031,20250719,1
C98575ASZHM-0031,20250726,1
C98575AVVHM-0031,20250615,1
C98575AVVHM-0031,20250622,1
C98575AVVHM-0031,20250629,1
C98575AVVHM-0031,20250706,1
C98575AVVHM-0031,20250713,1
C98575AVVHM-0031,20250720,1
C98575AVVHM-0031,20250727,1
C98576K1HCHM-0031,20250623,1
C98576K1HCHM-0031,20250624,1
C98576K1HCHM-0031,20250625,1
C98576K1HCHM-0031,20250626,1
C98576K1HCHM-0031,20250630,1
C98576K1HCHM-0031,20250701,1
C98576K1HCHM-0031,20250702,1
C98576K1HCHM-0031,20250703,1
C98576K1HCHM-0031,20250707,1
C98576K1HCHM-0031,20250708,1
C98576K1HCHM-0031,20250709,1
C98576K1HCHM-0031,20250710,1
C98576K1HCHM-0031,20250714,1
C98576K1HCHM-0031,20250715,1
C98576K1HCHM-0031,20250716,1
C98576K1HCHM-0031,20250717,1
C98576K1HCHM-0031,20250721,1
C98576K1HCHM-0031,20250722,1
C98576K1HCHM-0031,20250723,1
C98576K1HCHM-0031,20250724,1
C98576K1HCHM-0031,20250728,1
C98576K1HCHM-0031,20250729,1
C98576K1HCHM-0031,20250730,1
C98576K1HCHM-0031,20250731,1
C98576K1VSHM-0031,20250622,1
C98576K1VSHM-0031,20250623,1
C98576K1VSHM-0031,20250624,1
C98576K1VSHM-0031,20250625,1
C98576K1VSHM-0031,20250629,1
C98576K1VSHM-0031,20250630,1
C98576K1VSHM-0031,20250701,1
C98576K1VSHM-0031,20250702,1
C98576K1VSHM-0031,20250706,1
C98576K1VSHM-0031,20250707,1
C98576K1VSHM-0031,20250708,1
C98576K1VSHM-0031,20250709,1
C98576K1VSHM-0031,20250713,1
C98576K1VSHM-0031,20250714,1
C98576K1VSHM-0031,20250715,1
C98576K1VSHM-0031,20250716,1
C98576K1VSHM-0031,20250720,1
C98576K1VSHM-0031,20250721,1
C98576K1VSHM-0031,20250722,1
C98576K1VSHM-0031,20250723,1
C98576K1VSHM-0031,20250727,1
C98576K1VSHM-0031,20250728,1
C98576K1VSHM-0031,20250729,1
C98576K1VSHM-0031,20250730,1
C98577K1CSHM-0031,20250626,1
C98577K1CSHM-0031,20250703,1
C98577K1CSHM-0031,20250710,1
C98577K1CSHM-0031,20250717,1
C98577K1CSHM-0031,20250724,1
C98577K1CSHM-0031,20250731,1
C98577K1PPHM-0031,20250627,1
C98577K1PPHM-0031,20250704,1
C98577K1PPHM-0031,20250711,1
C98577K1PPHM-0031,20250718,1
C98577K1PPHM-0031,20250725,1
C98577K1PPHM-0031,20250801,1
C98580APPYM-0021,20250620,1
C98581K1HCSZB-011,20250623,1
C98581K1HCSZB-011,20250624,1
C98581K1HCSZB-011,20250625,1
C98581K1HCSZB-011,20250626,1
C98582K1PPSZB-011,20250627,1
C98583ASZMAA-091,20250628,1
C98583ASZMAA-091,20250705,1
C98583ASZMAA-091,20250712,1
C98583ASZMAA-091,20250719,1
C98583ASZMAA-091,20250726,1
C98584RAAVVVK-0031,20250615,1
C98586RA2VVWA-0031,20250615,1
C98587RAAVVPER021,20250615,1
C98589K1HCKMK-011,20250623,1
C98589K1HCKMK-011,20250624,1
C98589K1HCKMK-011,20250625,1
C98589K1HCKMK-011,20250626,1
C98589K1HCKMK-011,20250630,1
C98589K1HCKMK-011,20250701,1
C98589K1HCKMK-011,20250702,1
C98589K1HCKMK-011,20250703,1
C98589K1HCKMK-011,20250707,1
C98589K1HCKMK-011,20250708,1
C98589K1HCKMK-011,20250709,1
C98589K1HCKMK-011,20250710,1
C98589K1HCKMK-011,20250714,1
C98589K1HCKMK-011,20250715,1
C98589K1HCKMK-011,20250716,1
C98589K1HCKMK-011,20250717,1
C98589K1HCKMK-011,20250721,1
C98589K1HCKMK-011,20250722,1
C98589K1HCKMK-011,20250723,1
C98589K1HCKMK-011,20250724,1
C98589K1HCKMK-011,20250728,1
C98589K1HCKMK-011,20250729,1
C98589K1HCKMK-011,20250730,1
C98589K1HCKMK-011,20250731,1
C98590K1PPKMK-011,20250627,1
C98590K1PPKMK-011,20250704,1
C98590K1PPKMK-011,20250711,1
C98590K1PPKMK-011,20250718,1
C98590K1PPKMK-011,20250725,1
C98590K1PPKMK-011,20250801,1
C98594RA2PPTN-0011,20250620,1
C98594RA2SZTN-0011,20250621,1
C98595RA6PPNR-0011,20250620,1
C98595RA6SZNR-0011,20250621,1
C98599RK2HPSBc-011,20250625,1
C98599RK2HPSBc-021,20250625,1
C98600RK2HPSBc-011,20250626,1
C98600RK2HPSBc-011,20250627,1
C98600RK2HPSBc-011,20250630,1
C98600RK2HPSBc-011,20250701,1
C98600RK2HPSBc-011,20250702,1
C98600RK2HPSBc-011,20250703,1
C98600RK2HPSBc-011,20250704,1
C98600RK2HPSBc-021,20250626,1
C98600RK2HPSBc-021,20250627,1
C98600RK2HPSBc-021,20250630,1
C98600RK2HPSBc-021,20250701,1
C98600RK2HPSBc-021,20250702,1
C98600RK2HPSBc-021,20250703,1
C98600RK2HPSBc-021,20250704,1
C98601RAAVVVK-0061,20250615,1
C98611RK2SZSBc-011,20250628,1
C98611RK2SZSBc-021,20250628,1
C98618RAAHPLE-0041,20250620,1
C98620K2HPVK-0011,20250728,1
C98620K2HPVK-0011,20250729,1
C98620K2HPVK-0011,20250730,1
C98620K2HPVK-0011,20250731,1
C98620K2HPVK-0011,20250801,1
C98621RAAPPYM-0031,20250620,1
C98622RK2VVSBc-011,20250622,1
C98622RK2VVSBc-021,20250622,1
C98625K1HCMAA-051,20250623,1
C98625K1HCMAA-051,20250624,1
C98625K1HCMAA-051,20250625,1
C98625K1HCMAA-051,20250626,1
C98625K1HCMAA-051,20250630,1
C98625K1HCMAA-051,20250701,1
C98625K1HCMAA-051,20250702,1
